,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
171,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Crystal Palace,32,10,0,0,0,0
172,Jon Flanagan\Jon-Flanagan,eng ENG,DF,Burnley,23,6,0,0,2,0
173,Ashley Fletcher\Ashley-Fletcher,eng ENG,FW,West Ham,20,16,0,0,2,0
174,Darren Fletcher\Darren-Fletcher,sco SCO,MF,West Brom,32,38,2,3,0,0
175,Michael Folivi\Michael-Folivi,eng ENG,FW,Watford,18,1,0,0,0,0
176,José Fonte\Jose-Fonte,pt POR,DF,Southampton,32,17,0,0,2,0
177,José Fonte\Jose-Fonte,pt POR,DF,West Ham,32,16,0,0,2,0
178,Adam Forshaw\Adam-Forshaw,eng ENG,MF,Middlesbrough,24,34,0,1,4,0
179,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,28,38,0,0,3,0
180,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,33,38,0,0,2,0
181,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,18,4,0,0,0,0
182,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,31,34,0,1,4,1
183,Ryan Fraser\Ryan-Fraser,sco SCO,MF,Bournemouth,22,28,3,5,3,0
184,George Friend\George-Friend,eng ENG,DF,Middlesbrough,28,24,0,2,4,0
185,Zeki Fryers\Zeki-Fryers,eng ENG,DF,Crystal Palace,23,8,0,0,0,0
186,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,30,36,2,3,10,0
187,Jay Fulton\Jay-Fulton,sco SCO,MF,Swansea City,22,11,0,0,2,0
188,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Everton,25,23,0,1,0,0
189,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Southampton,24,11,4,0,1,0
190,Brendan Galloway\Brendan-Galloway,eng ENG,DF,West Brom,20,3,0,0,0,0
191,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,26,33,1,1,11,0
192,Aleix García\Aleix-Garcia,es ESP,MF,Manchester City,19,4,0,0,0,0
193,Craig Gardner\Craig-Gardner,eng ENG,MF,West Brom,29,9,0,1,1,0
194,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,25,35,0,0,2,0
195,Rudy Gestede\Rudy-Gestede,bj BEN,FW,Middlesbrough,27,16,1,0,3,0
196,Kieran Gibbs\Kieran-Gibbs,eng ENG,MFDF,Arsenal,26,11,0,1,3,0
197,Ben Gibson\Ben-Gibson,eng ENG,DF,Middlesbrough,23,38,1,1,4,0
198,Darron Gibson\Darron-Gibson,ie IRL,MF,Sunderland,28,12,0,0,4,0
